Transcript ID: CHS.22394.22, TPM: 76.900711
Transcript ID: CHS.22018.27, TPM: 0.0
Transcript ID: CHS.22520.4, TPM: 139.717087
Transcript ID: CHS.22520.7, TPM: 73.794952
Transcript ID: CHS.22520.2, TPM: 138.523239
Transcript ID: CHS.173333.1, TPM: 9.409142
Transcript ID: CHS.23817.1, TPM: 0.0
Transcript ID: MSTRG.269.3, TPM: 5.407491
Transcript ID: MSTRG.269.2, TPM: 2.07544
Transcript ID: CHS.21815.18, TPM: 18.00946
Transcript ID: MSTRG.269.7, TPM: 23.834639
Transcript ID: MSTRG.269.6, TPM: 36.685394
Transcript ID: MSTRG.269.5, TPM: 6.97049
Transcript ID: MSTRG.269.4, TPM: 3.057086
Transcript ID: CHS.20875.27, TPM: 0.0
Transcript ID: CHS.128759.1, TPM: 45.944851
Transcript ID: MSTRG.328.3, TPM: 22.902567
Transcript ID: CHS.20875.28, TPM: 0.0
Transcript ID: CHS.22242.40, TPM: 7.913332
Transcript ID: CHS.22242.41, TPM: 23.196411
Transcript ID: CHS.22191.1, TPM: 0.0
Transcript ID: CHS.22167.1, TPM: 2474.780518
Transcript ID: CHS.22036.2, TPM: 0.0
Transcript ID: MSTRG.402.19, TPM: 261.938965
Transcript ID: CHS.23215.39, TPM: 1.470933
Transcript ID: CHS.23166.5, TPM: 0.0
Transcript ID: CHS.21309.15, TPM: 238.335785
Transcript ID: CHS.23166.2, TPM: 0.0
Transcript ID: CHS.175730.2, TPM: 0.0
Transcript ID: CHS.21180.10, TPM: 8.499971
Transcript ID: MSTRG.388.20, TPM: 50.9296
Transcript ID: MSTRG.388.21, TPM: 195.1427
Transcript ID: MSTRG.388.22, TPM: 322.471039
Transcript ID: MSTRG.388.23, TPM: 39.303497
Transcript ID: MSTRG.388.24, TPM: 41.14299
Transcript ID: CHS.20941.18, TPM: 91.871025
Transcript ID: CHS.22495.3, TPM: 0.0
Transcript ID: CHS.23055.53, TPM: 0.0
Transcript ID: CHS.22495.5, TPM: 0.0
Transcript ID: CHS.23055.55, TPM: 0.0
Transcript ID: CHS.23055.56, TPM: 4.432551
Transcript ID: CHS.23055.57, TPM: 7.143809
Transcript ID: CHS.22774.1, TPM: 0.0
Transcript ID: CHS.134492.7, TPM: 0.0
Transcript ID: CHS.134492.1, TPM: 0.0
Transcript ID: CHS.134492.3, TPM: 0.0
Transcript ID: CHS.23300.35, TPM: 160.309341
Transcript ID: CHS.21813.12, TPM: 0.0
Transcript ID: CHS.21813.13, TPM: 0.0
Transcript ID: CHS.21813.14, TPM: 8.207751
Transcript ID: CHS.23300.30, TPM: 328.553772
Transcript ID: CHS.23300.32, TPM: 1.59449
Transcript ID: CHS.23136.3, TPM: 0.0
Transcript ID: CHS.23136.7, TPM: 2.944605
Transcript ID: CHS.23136.4, TPM: 0.0
Transcript ID: CHS.23136.8, TPM: 0.0
Transcript ID: CHS.21381.1, TPM: 41.589001
Transcript ID: CHS.21381.2, TPM: 2.870712
Transcript ID: MSTRG.891.14, TPM: 12.826923
Transcript ID: CHS.21332.11, TPM: 0.0
Transcript ID: CHS.21332.12, TPM: 2.581444
Transcript ID: CHS.21332.13, TPM: 17.787865
Transcript ID: CHS.22481.6, TPM: 72.597939
Transcript ID: CHS.22481.7, TPM: 481.829773
Transcript ID: CHS.21816.49, TPM: 444.820709
Transcript ID: MSTRG.597.3, TPM: 130.679474
Transcript ID: MSTRG.597.2, TPM: 194.842941
Transcript ID: MSTRG.597.7, TPM: 16.906757
Transcript ID: MSTRG.597.6, TPM: 21.532717
Transcript ID: MSTRG.597.5, TPM: 39.609222
Transcript ID: MSTRG.597.4, TPM: 130.599289
Transcript ID: MSTRG.597.9, TPM: 91.384842
Transcript ID: MSTRG.597.8, TPM: 4.285666
Transcript ID: CHS.173487.1, TPM: 0.0
Transcript ID: CHS.23491.2, TPM: 0.0
Transcript ID: CHS.22316.1, TPM: 46.629948
Transcript ID: MSTRG.906.1, TPM: 66.180969
Transcript ID: MSTRG.906.2, TPM: 47.010986
Transcript ID: MSTRG.1603.1, TPM: 72.887436
Transcript ID: CHS.21114.2, TPM: 0.0
Transcript ID: CHS.20898.2, TPM: 130.789062
Transcript ID: CHS.20898.1, TPM: 472.331482
Transcript ID: CHS.23368.8, TPM: 0.0
Transcript ID: MSTRG.1184.3, TPM: 601.641052
Transcript ID: MSTRG.1184.2, TPM: 1392.455933
Transcript ID: CHS.23368.1, TPM: 0.0
Transcript ID: CHS.23569.3, TPM: 1721.440552
Transcript ID: CHS.23647.66, TPM: 0.0
Transcript ID: CHS.22229.1, TPM: 3.964423
Transcript ID: CHS.23148.1, TPM: 818.819214
Transcript ID: CHS.23569.4, TPM: 233.128342
Transcript ID: CHS.163791.1, TPM: 0.0
Transcript ID: CHS.21574.16, TPM: 0.920862
Transcript ID: CHS.21574.17, TPM: 0.0
Transcript ID: CHS.21574.18, TPM: 0.0
Transcript ID: CHS.21998.1, TPM: 0.0
Transcript ID: CHS.22217.2, TPM: 1.407542
Transcript ID: MSTRG.215.3, TPM: 55.934261
Transcript ID: MSTRG.215.1, TPM: 51.81905
Transcript ID: MSTRG.215.4, TPM: 106.094482
Transcript ID: CHS.21377.10, TPM: 154.392975
Transcript ID: CHS.22766.21, TPM: 419.367676
Transcript ID: CHS.22766.20, TPM: 46.413685
Transcript ID: CHS.22766.25, TPM: 86.597115
Transcript ID: CHS.173497.1, TPM: 0.0
Transcript ID: CHS.22375.18, TPM: 182.319061
Transcript ID: CHS.22171.1, TPM: 8.97848
Transcript ID: MSTRG.767.5, TPM: 14.63839
Transcript ID: CHS.134359.1, TPM: 0.0
Transcript ID: CHS.22232.13, TPM: 265.089355
Transcript ID: CHS.21493.1, TPM: 8.969597
Transcript ID: CHS.23442.9, TPM: 1295.708618
Transcript ID: CHS.21498.2, TPM: 1991.934448
Transcript ID: CHS.21296.1, TPM: 76.017288
Transcript ID: CHS.23061.3, TPM: 21.089375
Transcript ID: CHS.21873.1, TPM: 5.397169
Transcript ID: CHS.23061.1, TPM: 1.096423
Transcript ID: MSTRG.1589.39, TPM: 43.332512
Transcript ID: CHS.22421.1, TPM: 7.296747
Transcript ID: CHS.22421.2, TPM: 28.176466
Transcript ID: CHS.22421.3, TPM: 109.283997
Transcript ID: CHS.22421.4, TPM: 101.047485
Transcript ID: CHS.22421.5, TPM: 48.481495
Transcript ID: CHS.22421.6, TPM: 53.275085
Transcript ID: CHS.173351.1, TPM: 0.0
Transcript ID: CHS.23011.13, TPM: 0.0
Transcript ID: CHS.134199.3, TPM: 1.906705
Transcript ID: CHS.134199.2, TPM: 0.0
Transcript ID: CHS.21687.3, TPM: 6.399376
Transcript ID: CHS.21687.2, TPM: 16.353577
Transcript ID: CHS.22475.11, TPM: 151.338333
Transcript ID: CHS.158219.1, TPM: 0.0
Transcript ID: CHS.21735.42, TPM: 38.702492
Transcript ID: CHS.21735.40, TPM: 69.418137
Transcript ID: CHS.22949.3, TPM: 2.607786
Transcript ID: CHS.22949.2, TPM: 0.0
Transcript ID: CHS.22949.1, TPM: 0.0
Transcript ID: CHS.23308.1, TPM: 1.635718
Transcript ID: CHS.23801.6, TPM: 0.0
Transcript ID: CHS.20881.53, TPM: 216.528015
Transcript ID: CHS.21028.8, TPM: 541.492493
Transcript ID: CHS.21028.9, TPM: 197.475479
Transcript ID: CHS.134403.1, TPM: 23.651525
Transcript ID: CHS.173258.1, TPM: 10.409764
Transcript ID: CHS.134191.1, TPM: 0.0
Transcript ID: CHS.22094.32, TPM: 799.973999
Transcript ID: CHS.163804.1, TPM: 0.0
Transcript ID: CHS.22539.40, TPM: 52.995861
Transcript ID: CHS.20981.24, TPM: 234.93306
Transcript ID: CHS.20981.25, TPM: 148.133057
Transcript ID: CHS.20981.20, TPM: 339.281494
Transcript ID: CHS.22233.9, TPM: 201.78157
Transcript ID: CHS.22233.8, TPM: 156.027588
Transcript ID: CHS.22233.7, TPM: 41.618816
Transcript ID: CHS.22233.6, TPM: 291.287048
Transcript ID: CHS.22233.3, TPM: 744.225647
Transcript ID: CHS.22233.2, TPM: 262.581055
Transcript ID: CHS.22233.1, TPM: 346.827881
Transcript ID: CHS.173448.1, TPM: 0.0
Transcript ID: MSTRG.950.1, TPM: 39.385052
Transcript ID: MSTRG.950.2, TPM: 8.410197
Transcript ID: CHS.23692.4, TPM: 0.0
Transcript ID: CHS.143739.1, TPM: 0.0
Transcript ID: CHS.23692.2, TPM: 0.0
Transcript ID: CHS.23692.1, TPM: 0.0
Transcript ID: CHS.23783.2, TPM: 0.0
Transcript ID: CHS.21017.19, TPM: 32.111408
Transcript ID: CHS.134405.2, TPM: 0.0
Transcript ID: CHS.22856.2, TPM: 0.0
Transcript ID: CHS.22856.1, TPM: 0.0
Transcript ID: CHS.23234.3, TPM: 8781.800781
Transcript ID: MSTRG.434.7, TPM: 307.244354
Transcript ID: MSTRG.434.9, TPM: 19.463181
Transcript ID: MSTRG.434.8, TPM: 53.517906
Transcript ID: CHS.23289.4, TPM: 1315.616211
Transcript ID: CHS.23049.1, TPM: 6.318528
Transcript ID: CHS.60386.1, TPM: 0.0
Transcript ID: MSTRG.1252.1, TPM: 226.297028
Transcript ID: CHS.158812.1, TPM: 6.03325
Transcript ID: MSTRG.561.5, TPM: 5.436724
Transcript ID: MSTRG.1111.5, TPM: 15.931781
Transcript ID: MSTRG.1111.4, TPM: 162.190353
Transcript ID: CHS.23447.39, TPM: 0.0
Transcript ID: MSTRG.1013.32, TPM: 209.217667
Transcript ID: MSTRG.642.1, TPM: 256.856842
Transcript ID: MSTRG.1013.34, TPM: 51.867611
Transcript ID: MSTRG.1013.35, TPM: 67.159706
Transcript ID: MSTRG.1013.36, TPM: 66.800644
Transcript ID: MSTRG.1013.37, TPM: 36.799042
Transcript ID: CHS.21986.15, TPM: 83.395103
Transcript ID: CHS.21986.14, TPM: 6.736199
Transcript ID: CHS.22970.13, TPM: 67.360558
Transcript ID: CHS.22970.12, TPM: 48.300335
Transcript ID: CHS.134419.1, TPM: 0.0
Transcript ID: CHS.21155.9, TPM: 0.0
Transcript ID: CHS.22970.16, TPM: 136.175858
Transcript ID: CHS.22970.15, TPM: 274.276031
Transcript ID: CHS.22970.14, TPM: 78.774124
Transcript ID: CHS.21155.5, TPM: 0.0
Transcript ID: CHS.21155.7, TPM: 0.0
Transcript ID: CHS.21155.6, TPM: 0.0
Transcript ID: CHS.21155.1, TPM: 0.0
Transcript ID: CHS.21155.3, TPM: 0.0
Transcript ID: CHS.21155.2, TPM: 0.0
Transcript ID: MSTRG.113.3, TPM: 244.948425
Transcript ID: CHS.21978.3, TPM: 0.0
Transcript ID: MSTRG.113.4, TPM: 839.490295
Transcript ID: CHS.143744.1, TPM: 0.0
Transcript ID: CHS.23447.33, TPM: 0.0
Transcript ID: CHS.23607.9, TPM: 531.680237
Transcript ID: MSTRG.1547.9, TPM: 181.85112
Transcript ID: CHS.22863.36, TPM: 13.330374
Transcript ID: CHS.21739.17, TPM: 259.208313
Transcript ID: CHS.22874.1, TPM: 0.0
Transcript ID: CHS.21739.19, TPM: 0.0
Transcript ID: CHS.21739.18, TPM: 0.0
Transcript ID: CHS.173416.1, TPM: 5.269399
Transcript ID: CHS.21216.1, TPM: 7.159013
Transcript ID: CHS.22678.23, TPM: 104.252769
Transcript ID: CHS.21216.4, TPM: 74.489616
Transcript ID: CHS.21135.1, TPM: 23.566999
Transcript ID: CHS.21026.2, TPM: 0.0
Transcript ID: CHS.22694.9, TPM: 77.303604
Transcript ID: CHS.22694.3, TPM: 113.10331
Transcript ID: CHS.22694.4, TPM: 1981.499512
Transcript ID: CHS.22935.8, TPM: 37.680557
Transcript ID: CHS.22935.2, TPM: 72.539452
Transcript ID: CHS.23398.52, TPM: 4.836296
Transcript ID: CHS.23398.53, TPM: 0.0
Transcript ID: CHS.23398.50, TPM: 0.0
Transcript ID: CHS.21946.1, TPM: 13.750591
Transcript ID: CHS.22454.76, TPM: 31.679316
Transcript ID: CHS.22454.77, TPM: 2.955332
Transcript ID: CHS.22454.78, TPM: 0.0
Transcript ID: MSTRG.1727.1, TPM: 33.040913
Transcript ID: CHS.21323.1, TPM: 0.937319
Transcript ID: CHS.21323.5, TPM: 0.0
Transcript ID: CHS.23830.1, TPM: 0.0
Transcript ID: CHS.23830.2, TPM: 0.0
Transcript ID: CHS.173286.1, TPM: 0.0
Transcript ID: CHS.22953.6, TPM: 0.0
Transcript ID: MSTRG.1666.4, TPM: 2018.980713
Transcript ID: CHS.22953.7, TPM: 0.0
Transcript ID: CHS.23785.10, TPM: 0.0
Transcript ID: CHS.23785.11, TPM: 0.0
Transcript ID: CHS.23785.12, TPM: 0.0
Transcript ID: CHS.23785.13, TPM: 0.0
Transcript ID: CHS.21340.3, TPM: 0.0
Transcript ID: CHS.23318.12, TPM: 57.679165
Transcript ID: CHS.23318.10, TPM: 122.367065
Transcript ID: CHS.23318.11, TPM: 10.42519
Transcript ID: CHS.23334.3, TPM: 98.288651
Transcript ID: CHS.173558.1, TPM: 2.382308
Transcript ID: CHS.22953.2, TPM: 0.0
Transcript ID: CHS.23334.9, TPM: 518.797791
Transcript ID: CHS.173264.1, TPM: 0.0
Transcript ID: CHS.21479.2, TPM: 6.449991
Transcript ID: CHS.21479.1, TPM: 0.0
Transcript ID: CHS.21208.4, TPM: 30.210566
Transcript ID: CHS.21208.5, TPM: 44.052837
Transcript ID: CHS.21208.6, TPM: 140.00563
Transcript ID: CHS.21208.7, TPM: 97.780716
Transcript ID: CHS.21208.2, TPM: 89.072044
Transcript ID: CHS.21208.3, TPM: 154.235291
Transcript ID: CHS.173550.1, TPM: 0.0
Transcript ID: MSTRG.1650.9, TPM: 15.853311
Transcript ID: MSTRG.1650.8, TPM: 200.573456
Transcript ID: MSTRG.1650.1, TPM: 165.805725
Transcript ID: CHS.158162.1, TPM: 0.830951
Transcript ID: CHS.23261.36, TPM: 4.496372
Transcript ID: CHS.23388.3, TPM: 1.275735
Transcript ID: CHS.21970.15, TPM: 0.0
Transcript ID: CHS.21970.16, TPM: 488.095703
Transcript ID: CHS.23593.26, TPM: 16.508564
Transcript ID: CHS.21272.3, TPM: 303.94577
Transcript ID: CHS.21124.37, TPM: 66.813217
Transcript ID: CHS.21124.36, TPM: 120.713577
Transcript ID: CHS.21124.35, TPM: 91.747208
Transcript ID: CHS.21711.7, TPM: 0.868629
Transcript ID: CHS.21711.6, TPM: 0.0
Transcript ID: CHS.21711.5, TPM: 1.386256
Transcript ID: CHS.21711.4, TPM: 223.405334
Transcript ID: CHS.21711.3, TPM: 36.239441
Transcript ID: CHS.21711.2, TPM: 99.48996
Transcript ID: CHS.22031.2, TPM: 905.447876
Transcript ID: CHS.22031.7, TPM: 195.149796
Transcript ID: CHS.22031.6, TPM: 476.148651
Transcript ID: CHS.21711.9, TPM: 23.477121
Transcript ID: CHS.21711.8, TPM: 0.0
Transcript ID: CHS.22647.13, TPM: 5.782842
Transcript ID: CHS.22540.21, TPM: 729.461853
Transcript ID: CHS.22071.23, TPM: 72.387566
Transcript ID: CHS.21076.49, TPM: 38.442169
Transcript ID: CHS.21679.18, TPM: 97.422913
Transcript ID: CHS.128915.1, TPM: 0.0
Transcript ID: MSTRG.988.1, TPM: 81.116104
Transcript ID: CHS.173423.1, TPM: 0.172041
Transcript ID: CHS.142943.1, TPM: 0.0
Transcript ID: CHS.23061.18, TPM: 0.0
Transcript ID: CHS.22386.3, TPM: 100.452591
Transcript ID: CHS.21618.3, TPM: 0.0
Transcript ID: CHS.21618.2, TPM: 0.0
Transcript ID: CHS.23061.11, TPM: 3.350441
Transcript ID: CHS.23061.10, TPM: 0.0
Transcript ID: CHS.21618.6, TPM: 0.0
Transcript ID: CHS.21618.5, TPM: 0.0
Transcript ID: CHS.21618.4, TPM: 0.0
Transcript ID: CHS.173191.1, TPM: 0.0
Transcript ID: CHS.173324.1, TPM: 0.0
Transcript ID: CHS.173460.1, TPM: 0.0
Transcript ID: CHS.128780.1, TPM: 22.501516
Transcript ID: CHS.22084.38, TPM: 2.212542
Transcript ID: CHS.22084.37, TPM: 0.0
Transcript ID: CHS.22084.36, TPM: 0.0
Transcript ID: CHS.22084.30, TPM: 0.0
Transcript ID: MSTRG.974.11, TPM: 29.480358
Transcript ID: CHS.23269.1, TPM: 105.674271
Transcript ID: CHS.20877.2, TPM: 0.0
Transcript ID: MSTRG.1152.9, TPM: 42.32428
Transcript ID: CHS.173199.1, TPM: 0.0
Transcript ID: CHS.22620.27, TPM: 33.422619
Transcript ID: CHS.23850.1, TPM: 0.0
Transcript ID: CHS.173185.1, TPM: 0.0
Transcript ID: CHS.173316.3, TPM: 0.0
Transcript ID: CHS.173316.2, TPM: 0.0
Transcript ID: CHS.173316.1, TPM: 0.0
Transcript ID: CHS.128935.1, TPM: 0.0
Transcript ID: CHS.134239.3, TPM: 0.0
Transcript ID: CHS.22852.43, TPM: 3.548669
Transcript ID: CHS.22852.42, TPM: 16.275644
Transcript ID: CHS.22852.41, TPM: 0.0
Transcript ID: CHS.23837.1, TPM: 0.0
Transcript ID: CHS.22852.47, TPM: 0.0
Transcript ID: CHS.22852.46, TPM: 0.561647
Transcript ID: CHS.21690.19, TPM: 0.0
Transcript ID: CHS.22852.44, TPM: 30.9832
Transcript ID: CHS.21690.17, TPM: 0.0
Transcript ID: CHS.23677.5, TPM: 0.0
Transcript ID: CHS.22852.49, TPM: 0.0
Transcript ID: CHS.21690.14, TPM: 0.0
Transcript ID: CHS.176298.1, TPM: 0.0
Transcript ID: CHS.21690.11, TPM: 0.0
Transcript ID: CHS.21690.10, TPM: 0.0
Transcript ID: CHS.22156.2, TPM: 13.467064
Transcript ID: CHS.22156.1, TPM: 17.448784
Transcript ID: MSTRG.748.2, TPM: 91.131973
Transcript ID: MSTRG.248.6, TPM: 56.263283
Transcript ID: MSTRG.248.7, TPM: 16.769196
Transcript ID: CHS.23754.1, TPM: 0.0
Transcript ID: CHS.23616.12, TPM: 63.273891
Transcript ID: MSTRG.1522.5, TPM: 3.039858
Transcript ID: CHS.21797.5, TPM: 1154.614868
Transcript ID: CHS.22525.5, TPM: 43.583454
Transcript ID: CHS.173239.1, TPM: 0.0
Transcript ID: CHS.22525.6, TPM: 204.760162
Transcript ID: CHS.22525.3, TPM: 595.278564
Transcript ID: CHS.22525.2, TPM: 1057.922729
Transcript ID: MSTRG.1337.4, TPM: 47.610943
Transcript ID: MSTRG.1337.1, TPM: 73.957497
Transcript ID: MSTRG.1337.3, TPM: 122.46801
Transcript ID: CHS.23121.2, TPM: 0.0
Transcript ID: CHS.23121.3, TPM: 0.0
Transcript ID: CHS.143846.2, TPM: 0.0
Transcript ID: CHS.143846.3, TPM: 0.0
Transcript ID: CHS.143846.4, TPM: 0.0
Transcript ID: CHS.23121.7, TPM: 0.0
Transcript ID: CHS.128921.1, TPM: 0.0
Transcript ID: MSTRG.216.2, TPM: 340.370514
Transcript ID: CHS.173225.1, TPM: 0.0
Transcript ID: CHS.128770.1, TPM: 0.0
Transcript ID: CHS.22968.10, TPM: 80.634422
Transcript ID: CHS.23570.17, TPM: 103.118767
Transcript ID: CHS.21171.15, TPM: 0.800814
Transcript ID: CHS.21277.26, TPM: 26.815496
Transcript ID: CHS.22723.5, TPM: 0.0
Transcript ID: MSTRG.1359.4, TPM: 104.673027
Transcript ID: CHS.23570.13, TPM: 241.709854
Transcript ID: CHS.23394.4, TPM: 0.0
Transcript ID: CHS.23394.6, TPM: 0.0
Transcript ID: CHS.22539.6, TPM: 40.129475
Transcript ID: CHS.22539.7, TPM: 90.834091
Transcript ID: CHS.23394.2, TPM: 0.0
Transcript ID: CHS.22539.5, TPM: 0.0
Transcript ID: CHS.22539.8, TPM: 417.972473
Transcript ID: CHS.22539.9, TPM: 343.6409
Transcript ID: MSTRG.1480.8, TPM: 245.964615
Transcript ID: MSTRG.1480.7, TPM: 88.836479
Transcript ID: CHS.23213.2, TPM: 936.137573
Transcript ID: CHS.128916.1, TPM: 12.654617
Transcript ID: CHS.23213.1, TPM: 3863.174805
Transcript ID: CHS.23321.3, TPM: 172.951187
Transcript ID: CHS.21698.3, TPM: 24.065529
Transcript ID: CHS.21484.19, TPM: 10.357671
Transcript ID: CHS.22616.2, TPM: 467.266907
Transcript ID: CHS.22616.3, TPM: 469.721161
Transcript ID: CHS.165357.1, TPM: 0.024665
Transcript ID: CHS.21484.12, TPM: 0.0
Transcript ID: CHS.21484.17, TPM: 7.87359
Transcript ID: CHS.23573.21, TPM: 194.203873
Transcript ID: CHS.128943.1, TPM: 56.031075
Transcript ID: CHS.22825.24, TPM: 2.179715
Transcript ID: CHS.22825.23, TPM: 475.264984
Transcript ID: CHS.22825.22, TPM: 133.184204
Transcript ID: CHS.22825.21, TPM: 20.449289
Transcript ID: MSTRG.1589.42, TPM: 25.005419
Transcript ID: CHS.143732.2, TPM: 0.0
Transcript ID: CHS.158525.1, TPM: 0.0
Transcript ID: CHS.143732.1, TPM: 0.0
Transcript ID: MSTRG.47.3, TPM: 811.783203
Transcript ID: CHS.21013.1, TPM: 8.878684
Transcript ID: CHS.21209.10, TPM: 347.090088
Transcript ID: CHS.21813.31, TPM: 15.795487
Transcript ID: CHS.20994.1, TPM: 0.0
Transcript ID: CHS.23005.28, TPM: 95.06517
Transcript ID: CHS.23005.29, TPM: 230.336609
Transcript ID: CHS.22444.9, TPM: 2.37774
Transcript ID: CHS.22444.8, TPM: 7.940084
Transcript ID: MSTRG.1018.9, TPM: 712.058716
Transcript ID: MSTRG.1018.8, TPM: 49.127544
Transcript ID: MSTRG.1018.7, TPM: 176.65593
Transcript ID: CHS.22444.1, TPM: 0.0
Transcript ID: CHS.21574.44, TPM: 24.362505
Transcript ID: MSTRG.1018.1, TPM: 162.163773
Transcript ID: CHS.23005.27, TPM: 179.338486
Transcript ID: CHS.23679.1, TPM: 0.0
Transcript ID: MSTRG.609.1, TPM: 73.232803
Transcript ID: CHS.23028.2, TPM: 0.0
Transcript ID: CHS.23028.1, TPM: 0.0
Transcript ID: CHS.21187.5, TPM: 210.620255
Transcript ID: CHS.173318.1, TPM: 0.155514
Transcript ID: CHS.173562.1, TPM: 41.239307
Transcript ID: CHS.173318.2, TPM: 0.29654
Transcript ID: CHS.21187.6, TPM: 698.405884
Transcript ID: CHS.23556.2, TPM: 0.0
Transcript ID: CHS.23556.3, TPM: 0.0
Transcript ID: CHS.21411.38, TPM: 3.935078
Transcript ID: CHS.21411.39, TPM: 0.0
Transcript ID: CHS.21411.35, TPM: 0.0
Transcript ID: MSTRG.1370.5, TPM: 10.52465
Transcript ID: CHS.21411.37, TPM: 8.399165
Transcript ID: MSTRG.212.11, TPM: 210.130447
Transcript ID: CHS.22202.6, TPM: 0.0
Transcript ID: CHS.22202.2, TPM: 0.0
Transcript ID: CHS.22202.1, TPM: 0.0
Transcript ID: CHS.21292.2, TPM: 0.0
Transcript ID: CHS.23020.1, TPM: 13.006673
Transcript ID: CHS.20939.16, TPM: 3.842901
Transcript ID: CHS.21717.17, TPM: 433.481384
Transcript ID: CHS.23736.12, TPM: 0.0
Transcript ID: CHS.128868.1, TPM: 1.657206
